Turn     Block     Rubbish     Hit     TurnStep     TotalStep     
1        10        50          153        222           222
2        10        50          210        143           365
3        10        50          452        303           668
4        10        50          628        190           858
5        10        50          774        180           1038
6        10        50          907        221           1259
7        10        50          1075        250           1509
8        10        50          1213        194           1703
9        10        50          1430        314           2017
10        10        50          1590        196           2213
