Parameter Settings:
alpha = 0.2
gamma = 0.95
zeta = 0.1
epsilon = 1
sensitivity = 3
ln_t = 1
Turn     Block     Rubbish     Hit         communication               TurnStep     TotalStep     
1        10        50          66        66             229           229
2        10        50          101        97             94           323
3        10        50          143        129             125           448
4        10        50          164        155             100           548
5        10        50          212        253             182           730
6        10        50          277        447             208           938
7        10        50          310        568             225           1163
8        10        50          351        642             158           1321
9        10        50          372        714             141           1462
10        10        50          396        736             73           1535
11        10        50          429        736             80           1615
12        10        50          444        772             100           1715
13        10        50          464        863             171           1886
14        10        50          476        885             112           1998
15        10        50          484        927             89           2087
16        10        50          493        969             105           2192
17        10        50          503        992             92           2284
18        10        50          523        1028             110           2394
19        10        50          553        1166             177           2571
20        10        50          563        1187             80           2651
