Parameter Settings:
alpha = 0.2
gamma = 0.95
zeta = 0.1
epsilon = 1
sensitivity = 3
ln_t = 1
Turn     Block     Rubbish     Hit         communication               TurnStep     TotalStep     
1        10        50          75        19             268           268
2        10        50          154        21             132           400
3        10        50          219        25             132           532
4        10        50          272        35             139           671
5        10        50          320        37             96           767
6        10        50          390        45             330           1097
7        10        50          452        51             175           1272
8        10        50          522        51             262           1534
9        10        50          571        54             167           1701
10        10        50          596        59             87           1788
11        10        50          656        60             294           2082
12        10        50          668        60             77           2159
13        10        50          687        61             183           2342
14        10        50          734        61             271           2613
15        10        50          776        64             201           2814
16        10        50          800        65             96           2910
17        10        50          812        66             163           3073
18        10        50          822        66             73           3146
19        10        50          840        67             132           3278
20        10        50          860        67             228           3506
