Turn     Block     Rubbish     Hit         communication               TurnStep     TotalStep     
1        10        50          76        34             200           200
2        10        50          147        48             166           366
3        10        50          190        48             121           487
4        10        50          264        58             241           728
5        10        50          299        59             131           859
6        10        50          348        60             190           1049
7        10        50          396        65             208           1257
8        10        50          424        67             125           1382
9        10        50          449        69             189           1571
10        10        50          487        74             336           1907
11        10        50          517        77             107           2014
12        10        50          534        78             114           2128
13        10        50          553        80             94           2222
14        10        50          573        81             120           2342
15        10        50          597        84             81           2423
16        10        50          618        87             181           2604
17        10        50          662        89             219           2823
18        10        50          690        89             86           2909
19        10        50          705        89             97           3006
20        10        50          719        89             86           3092
