Turn     Block     Rubbish     Hit     TurnStep     TotalStep     
1        10        50          95        197           197
2        10        50          67        153           350
3        10        50          35        114           464
4        10        50          92        284           748
5        10        50          50        183           931
6        10        50          30        96           1027
7        10        50          45        171           1198
8        10        50          24        114           1312
9        10        50          41        158           1470
10        10        50          70        341           1811
