Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
epsilon = 1
sensitivity = 3
ln_t = 1
Turn     Block     Rubbish     Hit         communication               malicious_communication             TurnStep     TotalStep     
1        10        50          72             12                            0                         164           164
2        10        50          157             36                            0                         163           327
3        10        50          222             37                            0                         186           513
4        10        50          311             41                            0                         216           729
5        10        50          371             48                            0                         279           1008
6        10        50          403             49                            0                         166           1174
7        10        50          466             52                            0                         267           1441
8        10        50          502             56                            0                         213           1654
9        10        50          530             56                            0                         120           1774
10        10        50          555             59                            0                         132           1906
11        10        50          582             60                            0                         77           1983
