Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(7.0, 5.0), (1.0, 4.0), (8.0, 1.0), (7.0, 3.0), (2.0, 3.0), (5.0, 1.0), (10.0, 1.0), (3.0, 4.0), (2.0, 2.0), (4.0, 7.0), (10.0, 2.0), (6.0, 4.0), (9.0, 4.0), (3.0, 2.0), (3.0, 1.0)]
VICTIM position = [(12.0, 1.0), (7.0, 6.0), (12.0, 8.0), (2.0, 5.0), (10.0, 5.0), (5.0, 8.0), (11.0, 2.0), (8.0, 4.0), (12.0, 7.0), (5.0, 6.0), (9.0, 8.0), (7.0, 1.0), (1.0, 1.0), (12.0, 2.0), (6.0, 2.0), (7.0, 2.0), (3.0, 8.0), (12.0, 3.0), (7.0, 8.0), (4.0, 1.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          64        160           160
2        15        20          88        95           255
3        15        20          107        108           363
4        15        20          152        197           560
5        15        20          183        76           636
6        15        20          204        106           742
7        15        20          219        89           831
8        15        20          242        104           935
9        15        20          281        242           1177
10        15        20          307        277           1454
11        15        20          319        109           1563
12        15        20          329        87           1650
13        15        20          345        125           1775
14        15        20          361        105           1880
15        15        20          368        32           1912
16        15        20          379        80           1992
17        15        20          399        142           2134
18        15        20          408        98           2232
19        15        20          418        91           2323
20        15        20          423        57           2380
