Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(2.0, 7.0), (7.0, 3.0), (6.0, 4.0), (1.0, 7.0), (1.0, 1.0), (12.0, 7.0), (3.0, 1.0), (5.0, 3.0), (10.0, 5.0), (3.0, 4.0), (10.0, 1.0), (4.0, 7.0), (11.0, 4.0), (1.0, 5.0), (6.0, 2.0)]
VICTIM position = [(7.0, 7.0), (3.0, 7.0), (3.0, 3.0), (11.0, 8.0), (6.0, 1.0), (8.0, 4.0), (12.0, 5.0), (8.0, 6.0), (12.0, 4.0), (10.0, 6.0), (12.0, 2.0), (4.0, 8.0), (2.0, 8.0), (9.0, 1.0), (2.0, 4.0), (8.0, 3.0), (10.0, 3.0), (9.0, 2.0), (4.0, 6.0), (1.0, 6.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          85        106           106                  7.066666666666666
2        15        20          122        62           168                  5.419354838709677
3        15        20          143        82           250                  5.319148936170213
4        15        20          192        108           358                  5.59375
5        15        20          212        50           408                  5.1645569620253164
6        15        20          267        116           524                  5.574468085106383
7        15        20          323        134           658                  5.875
8        15        20          351        91           749                  5.8515625
9        15        20          383        91           840                  5.874125874125874
10        15        20          435        155           995                  6.2578616352201255
11        15        20          455        62           1057                  6.074712643678161
12        15        20          471        33           1090                  5.7368421052631575
13        15        20          491        62           1152                  5.619512195121951
14        15        20          525        150           1302                  5.838565022421525
15        15        20          538        46           1348                  5.640167364016737
16        15        20          544        54           1402                  5.4765625
17        15        20          558        85           1487                  5.487084870848708
18        15        20          576        56           1543                  5.395104895104895
19        15        20          599        78           1621                  5.34983498349835
20        15        20          603        17           1638                  5.150943396226415
