Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          76        195           195
2        15        20          111        133           328
3        15        20          155        118           446
4        15        20          264        380           826
5        15        20          299        204           1030
6        15        20          316        202           1232
7        15        20          334        161           1393
8        15        20          351        91           1484
9        15        20          362        56           1540
10        15        20          394        153           1693
11        15        20          455        234           1927
12        15        20          465        96           2023
13        15        20          481        74           2097
14        15        20          505        160           2257
15        15        20          527        220           2477
16        15        20          539        76           2553
17        15        20          558        147           2700
18        15        20          568        109           2809
19        15        20          583        61           2870
20        15        20          599        70           2940
